"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.38087e+06,1.40375e+06,1.99729e+06,1.76231e+06,1.97798e+06,2.1345e+06,529.848,208.027,-142.949,896.888,222.53,-59.5,-175.897,293.409,609.429,265.073,199.92,206.168,-166.972,135.288,379.969,-9.77812,245.766,32.2875,-282.319,30.45,161.634,834.553,648.731,177.531,413.428,529.269,399.416,-98.2656,2.31562,92.0312,762.197,280.012,264.278,338.556,-9.44063,196.175,90.0125,1930.88,1960.83,-4.66125,135.812,208.556,-248.529,-951.46,279.181,416.899,-150.219,455.178,-356.868,78.0406,-129.173,52.545,113.918,278.898,309.375,750.75,257.188,158.062,149.188,-6.6875,479.812,-42.125,-7,68.25,0.0016
1.37757e+06,1.39373e+06,1.58222e+06,1.8042e+06,2.03276e+06,1.68199e+06,439.408,-9.44563,440.449,366.074,-505.229,429.293,127.256,282.476,295.194,151.576,412.261,447.663,-345.546,-53.55,332.784,96.2062,-59.7187,352.012,-149.559,117.469,35.0437,1331.92,2486.92,135.494,256.916,-195.641,177.531,273.303,323.356,373.766,979.688,509.081,70.5375,596.719,2.67188,490.259,262.438,1778.4,2330.84,494.869,-100.641,-95.6969,163.497,-153.609,236.735,-207.002,203.965,204.036,262.513,574.605,539.222,-3.74312,557.655,390.627,687.062,-194.5,-60.1875,73.5,-169.438,88.875,578.562,206.812,296.562,-9,0.0056
1.37544e+06,1.39078e+06,1.92396e+06,1.67099e+06,1.87284e+06,2.0342e+06,361.091,-305.384,-172.029,16.9575,502.701,174.112,-237.628,471.612,401.997,92.6713,270.428,494.743,-0.818125,-389.428,226.734,90.4969,45.6094,188.475,141.225,-2.16562,-328.125,-67.8562,756.616,278.528,301.15,90.25,173.553,558.719,566.794,-76.2375,914.672,392.647,554.147,477.731,296.044,73.3281,517.037,1804.82,2599.28,323.321,0.353125,646.784,48.3075,403.693,263.926,601.372,482.581,651.233,126.56,504.686,527.004,794.249,340.059,343.096,431.75,470.438,83.3125,99,206.25,-28.75,341.062,87.75,-17.4375,568.625,0.0105
1.3952e+06,1.41288e+06,1.76592e+06,1.48769e+06,1.65723e+06,1.87679e+06,277.939,304.491,349.934,16.7344,-109.183,62.1031,166.377,28.0394,-313.416,112.009,308.136,356.405,200.887,-439.184,259.809,-66.2156,22.5094,55.4531,114.122,-8.79375,98.175,877.669,936.462,184.419,605.15,-90.6656,-179.787,292.837,-111.862,-370.262,828.519,574.334,363.731,284.347,474.169,73.8031,433.616,1855.23,2306.75,57.2769,-26.2725,462.947,-68.93,140.191,-267.174,794.107,331.019,549.109,108.833,-129.385,-341.825,-94.2844,344.438,-121.616,692.625,462.312,-239.25,100.562,197.188,245.938,453.812,187.438,248.5,279.125,0.0192
1.36472e+06,1.38791e+06,1.8339e+06,1.67637e+06,1.87378e+06,1.92048e+06,55.335,345.546,188.913,-39.7163,29.75,270.502,547.177,25.8081,-49.0131,105.018,-284.187,-271.841,501.362,299.285,203.634,135.909,89.9062,368.747,-260.728,28.9406,466.725,161.372,1488.59,-229.662,496.434,326.028,246.05,1109.84,424.056,113.762,930.525,590.9,687.384,445.075,53.7344,-20.0688,273.006,1770.62,1586.59,5.57937,214.488,256.51,-3.6725,139.696,-277.486,-342.178,7.83938,243.868,-179.599,260.182,-204.53,225.717,-272.683,505.039,396.25,349.625,-15.125,-11.75,-121.812,503.5,3.75,379.312,-104.312,207.375,0.0193
1.4345e+06,1.42773e+06,1.74359e+06,1.25467e+06,1.39872e+06,1.88535e+06,344.951,-208.771,-320.854,415.087,140.643,1.63625,269.461,410.029,228.48,-46.6331,192.185,-76.8294,428.772,-597.306,230.934,316.641,339.281,403.134,239.072,-313.884,-129.741,-109.594,1393.59,-322.347,961.934,-59.3156,78.5531,-10.3313,-82.4719,-74.2188,759.109,695.4,422.809,286.722,166.903,184.597,-167.912,1667.37,2194.74,37.5725,12.5712,407.647,226.353,-55.5112,46.2594,566.977,168.935,-16.8794,-153.821,-286.031,-25.7781,123.382,563.588,-184.614,620.125,153.625,164.75,-197.375,88.375,109.25,503.938,145.938,237.375,152.875,0.0297
1.41484e+06,1.41402e+06,2.1551e+06,1.34706e+06,1.50255e+06,2.34478e+06,67.6069,-138.263,71.1769,291.104,264.329,770.004,410.029,157.898,259.717,56.9713,166.749,423.194,542.417,206.763,272.278,-62.475,157.631,308.372,152.25,-49.8094,505.181,310.669,1163.16,70.8344,529.447,156.037,493.288,787.609,341.288,384.156,905.944,858.978,386.828,172.247,425.541,394.606,422.097,2372.03,1838.72,-412.238,244.292,251.99,-89.5525,-174.797,-146.476,319.79,-25.6369,84.9619,-147.536,-92.095,124.3,17.9387,195.843,-102.194,782.375,168.375,367.188,329.875,301.75,118.5,10.9375,348.562,418,319.938,0.036
1.38247e+06,1.38614e+06,2.21517e+06,1.60439e+06,1.77317e+06,2.28196e+06,31.7581,-275.931,-51.0956,688.936,74.5238,161.617,-100.853,108.662,200.887,-60.0206,504.56,933.927,-230.934,-60.5413,-128.756,-406.284,424.594,62.9344,-43.5094,-51.5156,128.559,375.244,1405.94,76.8312,711.372,-158.887,290.106,85.2031,119.938,-286.781,1213.03,902.797,1687.67,881.778,311.778,265.228,196.294,2161.55,2869,251.284,237.441,287.726,43.2931,-129.95,-66.67,844.11,624.042,517.893,293.588,530.606,159.754,144.146,9.81687,4.94375,703.25,58.875,102.5,395.75,448.938,360.125,261.375,115.312,118.25,-142.5,0.0387
1.44014e+06,1.43151e+06,2.20293e+06,1.5274e+06,1.67441e+06,2.21912e+06,257.486,149.568,59.3513,153.064,277.642,-22.2381,663.871,228.554,414.194,46.2613,638.584,295.492,131.793,-59.6488,287.372,-96.4687,315.394,6.0375,370.059,290.522,395.784,770.569,1260.06,417.881,530.634,417.584,7.125,-111.15,-281.556,-131.041,892.525,834.872,1117.5,359.991,241.181,48.8656,460.572,1919.47,2726.9,126.419,72.32,-286.172,4.44938,-12.1475,-171.266,616.627,187.721,327.7,44.07,-103.748,415.628,65.8931,316.471,-94.8494,594.062,305.875,100.125,-177.938,-220.625,25.625,200.938,-211.938,84.9375,540.312,0.0528
1.48672e+06,1.48124e+06,1.6992e+06,1.34546e+06,1.46891e+06,1.69913e+06,146.519,181.029,82.4819,-494.594,266.188,1910.84,-175.748,166.377,344.654,-174.186,-452.721,53.4013,601.694,-313.639,517.191,-185.916,-81.375,-275.1,-230.212,231.656,90.825,1011.02,136.087,-262.378,431.003,463.303,84.4313,194.988,1819.55,-430.706,924.112,425.719,496.137,517.691,405.828,207.337,246.466,1544.22,2874.51,-210.886,104.172,160.813,385.683,503.839,413.651,249.306,414.145,875.75,62.9269,519.376,137.719,136.306,64.2688,476.366,674.938,109.625,207.125,90.875,255.812,-139.562,462.688,132.5,51.5,-127.25,0.078
