"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.98336e+06,2.00215e+06,1.90513e+06,1.89946e+06,2.11535e+06,1.99684e+06,748722,1.07891e+06,725221,679407,800665,748766,634956,1.0512e+06,677210,687566,698056,997901,702207,663535,866398,1.02294e+06,1.15846e+06,971822,719004,729689,727102,793730,41191.8,279286,255071,219007,284073,187820,170019,65286.1,319692,258227,310608,245361,245676,246713,298948,302790,871894,831923,942624,995218,851432,633178,802276,1.00869e+06,813285,975683,838860,1.02841e+06,1.15186e+06,926426,795571,725648,826018,929844,897447,1.01576e+06,939155,805343,1.05866e+06,1.05141e+06,775498,863470,0.0147
1.95806e+06,1.98812e+06,2.33498e+06,1.97984e+06,2.19587e+06,2.41563e+06,781888,1.13623e+06,759051,670756,829275,773440,667231,1.10253e+06,710009,726347,726654,1.05206e+06,731516,688967,891518,1.06627e+06,1.20429e+06,1.01437e+06,734490,771624,766479,837164,42594.5,283586,263047,219673,275489,194129,183234,75301.6,322502,259429,312332,249371,247172,249513,302867,310384,989358,933121,1.059e+06,1.11639e+06,967514,720036,917420,1.15008e+06,915825,1.10223e+06,953392,1.16862e+06,1.30981e+06,1.05046e+06,904946,816772,850528,943396,920096,1.03453e+06,964066,826698,1.0824e+06,1.08978e+06,792245,900968,0.0188
1.95199e+06,1.99012e+06,2.01654e+06,1.88507e+06,2.09769e+06,2.10113e+06,767419,1.10493e+06,741796,673692,827340,766421,645565,1.08698e+06,692940,707460,712559,1.02614e+06,717528,665615,883267,1.04845e+06,1.18162e+06,1.00136e+06,725318,754130,754201,807949,40678.1,269581,253246,212408,276007,181971,169452,79941.4,308795,247121,303139,242843,240061,240223,292743,300634,898371,856518,973936,1.02656e+06,882785,661397,833091,1.0567e+06,842471,1.01058e+06,873876,1.06902e+06,1.19561e+06,961386,822844,749933,829255,907332,899089,1.01833e+06,945760,810392,1.05957e+06,1.06143e+06,776405,875262,0.0206
1.89811e+06,1.92876e+06,2.17521e+06,2.37327e+06,2.66758e+06,2.3129e+06,747810,1.06979e+06,716453,648088,760330,695866,627108,1.04357e+06,674236,686708,693568,1.00765e+06,694490,646514,819526,962196,1.06453e+06,885589,631784,642294,628854,669958,30252.8,222384,196544,164564,207691,142416,116372,53802,201501,197811,250040,201606,200526,202137,246704,248042,875035,857441,945906,983529,829696,596902,731753,874169,833053,1.01132e+06,886840,1.08984e+06,1.21936e+06,979918,837836,758249,814292,743381,879117,989061,900785,764964,988641,974532,690514,764857,0.0264
1.90098e+06,1.93807e+06,2.33266e+06,2.24221e+06,2.49376e+06,2.43142e+06,774666,1.12018e+06,743230,675519,814526,762989,659665,1.10015e+06,708322,725617,730280,1.06034e+06,734447,682609,901596,1.06735e+06,1.18915e+06,995144,715290,735030,722687,768613,28741.3,263891,244776,204827,264234,169638,141016,62567.9,282739,242382,296363,237539,232705,233547,284575,289141,955210,910691,1.03519e+06,1.08512e+06,928920,682130,836151,1.02237e+06,889427,1.06856e+06,928988,1.14377e+06,1.27746e+06,1.02666e+06,883032,798562,853000,835399,924373,1.04124e+06,966652,824261,1.08021e+06,1.07808e+06,774520,823572,0.0318
1.88873e+06,1.92043e+06,2.39379e+06,2.08838e+06,2.31108e+06,2.47708e+06,796131,1.13301e+06,753043,683368,839503,763953,665656,1.11362e+06,716119,729032,735496,1.06535e+06,737895,687457,895015,1.06547e+06,1.20424e+06,1.01548e+06,733296,759123,752340,808382,34376.5,254406,240678,202690,251616,173176,158270,69465.1,283837,231706,286455,223075,226405,227037,272243,281476,958893,912077,1.03424e+06,1.09638e+06,945191,697698,866712,1.07264e+06,892199,1.07111e+06,932055,1.1408e+06,1.27501e+06,1.02638e+06,879731,798478,837904,902519,913602,1.0281e+06,957421,816943,1.07426e+06,1.07512e+06,778454,856512,0.038
1.87562e+06,1.87145e+06,1.9472e+06,2.1092e+06,2.27167e+06,1.93596e+06,833366,1.1306e+06,763388,663514,789895,716204,699364,1.16231e+06,742526,762270,765514,1.0879e+06,754037,704646,866957,1.02992e+06,1.16023e+06,971752,709022,735195,754832,786912,41018,289769,269211,222846,294104,186020,171447,73706.7,319243,264132,324908,258137,258650,255749,312082,315159,886914,849974,968093,1.0159e+06,873419,649888,782940,961830,824915,984800,845444,1.0366e+06,1.16149e+06,935071,802925,738230,829006,784962,898227,1.02877e+06,950201,792544,1.05695e+06,1.05094e+06,742208,803423,0.0383
1.95574e+06,1.93505e+06,1.82534e+06,1.70206e+06,1.86593e+06,1.8329e+06,755433,1.05897e+06,706352,623643,783901,727177,633458,1.04818e+06,676643,688215,685977,983803,688172,642186,881800,1.05507e+06,1.18412e+06,1.00925e+06,730234,772564,795890,859724,40907.1,287701,274241,231614,306598,190891,174811,69006.4,336188,266184,325284,256037,256344,258286,310353,319725,815068,786373,893929,949095,826645,625026,795169,1.02833e+06,755953,911299,787613,964849,1.07877e+06,870838,752936,686147,863198,970616,928409,1.05019e+06,976844,833888,1.10086e+06,1.10501e+06,815612,903414,0.0391
2.00517e+06,2.03608e+06,1.81816e+06,1.86241e+06,2.06326e+06,1.85620e+06,764275,1.0967e+06,736052,647337,781380,748755,642688,1.07641e+06,688576,699717,704854,1.00991e+06,706289,668311,869177,1.04211e+06,1.17017e+06,987768,721551,756542,766662,826568,45543.3,287969,274961,226309,293479,193929,182879,70518.8,336063,267747,326792,259484,258120,258441,313173,319806,860463,824878,934364,991730,855365,641789,820353,1.04792e+06,807536,966956,834577,1.02057e+06,1.14165e+06,919781,789905,720069,840721,943865,908628,1.03491e+06,959551,815227,1.07178e+06,1.07223e+06,794584,876613,0.0609
1.86903e+06,1.89419e+06,2.39638e+06,2.13301e+06,2.34434e+06,2.45257e+06,795977,1.12748e+06,748890,660958,794132,732465,665782,1.11991e+06,716174,730174,733036,1.06552e+06,736919,685838,906074,1.07419e+06,1.19316e+06,1.01477e+06,730406,757480,751121,798412,33864.1,244201,230114,191970,270058,170232,137569,61393.8,277353,222657,271904,217920,216530,218341,264699,274536,941099,895697,1.02885e+06,1.0799e+06,926088,681511,827181,1.00162e+06,874425,1.04846e+06,912853,1.11707e+06,1.24948e+06,1.00514e+06,863003,782488,839557,822233,899111,1.02111e+06,958669,804964,1.05909e+06,1.06145e+06,758499,810467,0.0714
