"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
682094,675904,1.89862e+06,708700,778044,1.94835e+06,129964,108261,70804.6,58371.8,75378.9,64501.8,111136,187474,109648,100257,89944.4,122692,80894.2,68650.4,473229,504533,471240,369087,259943,260097,252732,268602,78249.1,125000,113419,88089.2,102163,78381.9,62144,27436.7,636342,455224,496849,360536,271864,203942,208914,163178,507837,165649,182754,171517,139959,100980,121274,157694,467256,544788,415496,467044,504129,369878,231197,174827,361757,222207,354977,382265,331833,270451,331324,301324,211886,223174,0.0025
648511,640026,1.7894e+06,724393,791415,1.84031e+06,123867,94877,60787.9,51488.3,60993.9,53449.6,103882,171069,100144,92573.8,82390,109707,73450.2,60907.7,440092,469299,429194,325951,224341,220126,207661,220083,53739.4,103194,92612.9,70128.5,83484.8,55845.4,44079.4,21220.4,474959,370560,408874,296989,227716,167463,175537,138416,441748,147827,159502,147959,116135,81020.1,91116.2,115958,411472,481752,368931,412832,443643,328115,203204,155486,329796,171858,324619,349547,298635,238321,286734,257812,172386,171533,0.0142
647792,644797,1.82504e+06,765514,855376,1.94329e+06,118929,98918.1,62958.4,56568,58397.1,54407.2,100659,167199,100107,91246.2,82802.5,111986,74783.5,65155,421763,442184,404466,311262,214155,207839,199596,209812,56115.4,101906,86309.1,67342.7,73967.9,49974.6,40448.9,16297.5,397774,354446,407034,296846,227780,165480,172347,135365,434611,147840,156375,144259,112919,79003.7,91916.9,115151,413302,486691,375525,420123,454296,333764,204062,156595,329539,177351,326805,347953,294228,241886,287148,256919,175474,176455,0.02
619237,619794,1.83909e+06,695210,756133,1.87008e+06,132785,103097,70875.5,57855.8,70448.7,67269.7,110547,186639,108543,98771,89763.9,120126,81669,69917.1,454517,484344,447051,348049,246148,242535,237449,248594,75609.6,116852,104633,80631.1,94901.3,59567.8,60288.1,24424.9,585266,422976,468496,344609,258361,190671,198845,155173,464334,152624,167493,157413,124790,90456.5,104371,137089,427262,498393,378955,423912,456937,336248,207945,161202,339534,200117,330694,358799,311167,253566,308120,280613,193749,190622,0.0214
656117,656135,2.14485e+06,598190,657439,2.19879e+06,120206,98448,66243,55937.7,59803.2,66579.2,102226,168851,99433.2,93730,82046,110665,74953.1,65647.4,460377,493627,456404,355912,247731,253531,244520,266018,81410.2,116613,107528,85705.4,100838,67887.5,60853.7,23781.6,605936,433070,467606,345628,260140,191539,199086,155251,514128,168117,183869,172505,138543,99936.9,125057,157029,470200,553495,422332,472043,507856,374708,233486,177831,351132,233977,346699,368926,319428,264450,320153,294066,204053,218717,0.0223
639322,631686,1.93102e+06,712286,779191,1.98134e+06,121208,96519.6,63631.8,51483.7,56871.7,56240.1,104085,173888,101303,92933,83946.5,112803,75580.8,64357.7,454016,482094,441851,337962,228541,230159,220349,226124,55860.9,102797,93083.4,73471.1,91427.6,53527.6,52224.9,21700,485630,370745,418172,302264,227245,168228,176594,139717,456933,151253,166826,152458,119429,83763.4,93772.3,116912,421023,497208,378806,421889,455900,335972,208443,160730,336304,169495,328307,355437,303607,247997,295477,262435,178491,173445,0.0234
640797,640608,1.80299e+06,604203,670837,1.87782e+06,120073,99835.4,65370.3,55450.4,65580.5,60962.3,102425,173033,100458,92810.9,83890.5,113216,75629.7,66194.1,448549,480327,446344,345512,245047,241208,233166,254013,76565.8,111787,105958,81668.1,103309,62895.8,54723.1,26607.7,571831,406335,449915,325872,247665,181637,186893,147533,464865,153778,168607,156447,126171,91282.7,108714,131297,432559,505710,385734,431102,464153,341231,212226,162561,338552,216166,334453,360330,308840,256101,309020,280720,199516,212135,0.0268
643559,633814,1.89177e+06,590586,636407,1.88248e+06,121901,95951.8,63796.3,52489.8,61445.4,58450.4,102761,175015,102278,94208.4,85592.4,114541,76300.1,65552,450046,482622,449576,347976,244809,248433,252348,254607,74127.8,112515,101739,79798.5,94600,56470.4,49382.7,21534,569082,410676,455666,333617,252477,183463,195460,150701,469575,153500,170926,157674,129267,93928.2,111769,135308,430510,501914,381899,426351,457382,338120,209703,162554,342824,191226,339328,363878,312004,256715,315106,287445,199762,200040,0.032
647453,646059,1.73988e+06,476726,531086,1.82808e+06,106928,91417.4,60494.4,53046.7,64411.6,58261,91014.7,150797,88656.4,82273.7,74212.9,98928.6,68342.7,58770.7,448678,479310,443867,342652,242936,244745,231976,254932,72446.2,110462,105114,78495.2,98119.1,65010.7,60182.7,23709.4,576646,404717,438631,319352,242553,178553,186289,147628,436133,144100,158428,148633,118872,86483.9,104749,128050,404709,473330,362308,404593,433467,319752,196903,152775,346023,237944,344512,368218,313551,262905,321165,289799,206667,224328,0.0339
635143,637217,2.26086e+06,630972,693233,2.35352e+06,122547,101331,71502.3,55624.1,67731.8,59838.4,106040,175958,103899,95352.1,85474.9,115392,77754.8,66102.1,453287,482784,456277,353823,247382,247741,236220,250193,64058.4,105179,96450.9,77222.6,96523.6,64257.8,59669.9,27973.7,544839,391044,431628,312439,237226,174125,182014,141174,507265,167255,181763,171167,136712,98888.1,116723,147420,465939,549274,420944,471710,506002,372970,230819,177050,340455,204946,336597,361635,309585,258535,308125,286135,199454,210474,0.0411
