"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.88136e+06,1.91376e+06,1.06599e+06,2.04516e+06,2.29841e+06,1.16687e+06,771151,1.13382e+06,755593,695351,835164,793042,651124,1.08923e+06,704584,721703,730326,1.05274e+06,734851,696189,854252,1.01807e+06,1.14335e+06,960924,691924,705424,696127,749902,105714,810468,744816,609477,760652,523347,445047,189212,828264,758516,918228,729229,721623,721846,872652,887781,483811,481385,535710,570474,492999,360849,454138,569475,456537,546902,475682,581864,649974,527068,456782,419714,825618,820207,912440,1.02554e+06,928308,801544,1.04999e+06,1.0384e+06,758797,836350,0.0147
1.90804e+06,1.94092e+06,1.03102e+06,1.83399e+06,2.05118e+06,1.12665e+06,762305,1.11846e+06,760485,694483,820275,787024,644594,1.07678e+06,697796,716561,724076,1.03975e+06,726202,685594,856762,1.01961e+06,1.14394e+06,958689,687119,704723,703546,739949,113022,808459,744562,619634,782585,505830,470472,189249,827372,768549,923877,722998,723882,722850,869589,883372,464847,461500,515616,549833,472635,345062,426861,533720,435444,522853,455947,557607,624206,504358,437098,403129,827121,858595,913967,1.02686e+06,927370,800716,1.04699e+06,1.04115e+06,748978,835736,0.0927
1.86303e+06,1.87368e+06,993498,2.01099e+06,2.19626e+06,1.05006e+06,823021,1.15311e+06,771160,702056,842404,785598,688174,1.14449e+06,731085,745723,750965,1.08337e+06,756670,704572,894541,1.06411e+06,1.20402e+06,1.01502e+06,736416,768640,769176,815633,118522,801220,751024,622217,792670,504053,475170,196295,920479,750339,914558,727976,724611,720243,867197,882825,461842,454524,523733,558087,490122,366598,453783,559975,430564,519009,450219,550225,614815,499208,434327,395347,834187,843551,894576,1.01507e+06,943710,798541,1.05843e+06,1.06582e+06,769814,837080,0.1132
1.90285e+06,1.91484e+06,853476,2.00669e+06,2.20142e+06,901747,819230,1.15160e+06,772821,697134,863848,776356,682980,1.13249e+06,722844,744199,749433,1.07483e+06,749326,701628,866926,1.04545e+06,1.19461e+06,1.00553e+06,728036,763960,771336,810220,112426,823305,757605,623479,811862,537105,499595,202868,961970,771058,948569,744864,740277,739097,886556,899631,423650,424450,478681,515380,450606,340463,426553,537302,396634,478685,413647,506070,566319,459274,399833,367607,829340,836692,912310,1.03365e+06,945150,803268,1.05925e+06,1.05936e+06,781019,857837,0.1173
1.90641e+06,1.92158e+06,964560,2.0118e+06,2.18827e+06,1.00474e+06,834741,1.15681e+06,772318,686045,836631,744691,704598,1.17368e+06,750975,764377,766189,1.08863e+06,759944,709688,890022,1.06148e+06,1.20551e+06,1.01758e+06,739057,777614,785873,828973,129425,869680,803041,661502,850339,542336,523076,211197,1.00105e+06,807761,988593,794985,777967,788744,943040,958494,449353,446320,507791,547631,476623,361357,439849,547019,416534,498172,434038,531712,594651,480714,418871,388248,849623,840689,929612,1.05228e+06,966796,813571,1.07872e+06,1.082e+06,780135,843495,0.1194
1.86111e+06,1.89034e+06,924832,1.98415e+06,2.23031e+06,1.02609e+06,784059,1.09723e+06,744575,691036,835408,730351,648594,1.08941e+06,700674,722250,730850,1.04619e+06,725555,684803,816575,956227,1.075e+06,890141,639380,645367,638593,681382,99664.4,834861,743036,619515,755866,512049,439568,190787,760621,767973,970370,761124,755821,754336,907421,914800,453614,457934,502223,529235,454041,326498,407914,489383,434353,523666,454366,559770,625743,505499,434910,399999,808155,788073,898248,1.0074e+06,905356,776649,1.00831e+06,996542,712494,776309,0.1326
1.91755e+06,1.94607e+06,937950,1.94506e+06,2.12457e+06,984837,808734,1.14816e+06,769740,696052,826572,743447,680107,1.13363e+06,721665,740814,744851,1.06705e+06,741362,695981,886797,1.06258e+06,1.20649e+06,1.02674e+06,742868,778203,786152,845121,120741,838974,771275,636779,821541,536088,516859,210586,964737,783327,950732,756498,745845,749606,901817,915784,438019,434915,494266,530788,469565,353601,443670,563369,404757,488941,424682,519237,580814,472872,411061,378830,852114,892726,928312,1.05068e+06,963358,819070,1.08148e+06,1.08881e+06,801009,882364,0.1334
1.89773e+06,1.92880e+06,1.08696e+06,2.20174e+06,2.44265e+06,1.16602e+06,798180,1.1747e+06,781266,706850,865296,784318,687541,1.14241e+06,734082,753807,757834,1.09623e+06,760934,711808,904216,1.07482e+06,1.21419e+06,1.02285e+06,737154,765730,752452,801154,128192,924873,865273,707880,913773,573562,519259,210058,1.05685e+06,873511,1.05434e+06,836524,830063,833187,998193,1.01434e+06,519779,510218,578771,621536,536929,401807,496436,619259,483716,579335,504177,619025,693329,561434,488238,443799,853050,869209,941118,1.06128e+06,973123,827752,1.09865e+06,1.09065e+06,792991,861842,0.1433
1.81617e+06,1.84318e+06,1.03233e+06,2.31565e+06,2.55857e+06,1.11721e+06,787470,1.11223e+06,746960,660085,824125,709703,662672,1.10029e+06,703182,722157,729666,1.04688e+06,730308,681918,864403,1.02731e+06,1.16614e+06,968187,700483,715030,699601,746390,114789,803565,741975,613157,782210,487765,481827,175368,888724,752433,922726,733424,722017,720062,869547,891714,499101,491498,558586,591013,511834,377080,450664,549002,466495,557916,481897,590638,663430,535831,465154,426841,824464,773599,905835,1.02967e+06,944386,793997,1.05505e+06,1.03857e+06,743043,791694,0.1479
1.85051e+06,1.86764e+06,1.10786e+06,2.23651e+06,2.48826e+06,1.20395e+06,758174,1.0779e+06,713429,647506,797101,676436,637707,1.06924e+06,686692,706403,714885,1.01195e+06,713647,663003,856911,1.01692e+06,1.13672e+06,947654,672703,694648,674839,716329,94097.8,766739,688876,582891,729469,444712,441608,189677,797482,714053,882781,691223,688762,682193,833109,840364,506564,503798,566722,597774,512694,371752,451329,542995,476474,572695,497227,608236,681828,550649,476220,437684,816443,773464,903071,1.0224e+06,929034,789654,1.03971e+06,1.00611e+06,713915,753128,0.1555
